domain,https,issuer,expires,self_signed
blogspot.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
wikipedia.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
wordpress.org,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-08-24,No
google.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
made-in-china.com,Yes,"CN=DigiCert Basic OV G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-09-01,No
wiktionary.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
europa.eu,Yes,"CN=GlobalSign Atlas R3 OV TLS CA 2025 Q3,O=GlobalSign nv-sa,C=BE",2026-08-14,No
aif.ru,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2027-03-03,No
apple.com,Yes,"CN=Apple Public EV Server ECC CA 1 - G1,O=Apple Inc.,C=US",2026-07-16,No
nih.gov,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2027-02-15,No
qq.com,Yes,"CN=DigiCert Secure Site OV G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-11-27,No
indiatimes.com,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2026-10-02,No
app.link,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2027-02-20,No
libsyn.com,Yes,"CN=Sectigo Public Server Authentication CA OV E36,O=Sectigo Limited,C=GB",2026-09-04,No
wikimedia.org,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-06,No
pixnet.net,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-10-28,No
googlesource.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
rakuten.co.jp,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-12-10,No
amazonaws.com,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-09-30,No
microsoft.com,Yes,"CN=Microsoft TLS G2 RSA CA OCSP 16,O=Microsoft Corporation,C=US",2026-11-08,No
sina.com.cn,Yes,"CN=GeoTrust G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-12-30,No
ox.ac.uk,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-07-13,No
airbnb.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-07-08,No
oclc.org,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-28,No
yahoo.co.jp,Yes,"CN=Cybertrust Japan SureServer CA G4,O=Cybertrust Japan Co.\, Ltd.,C=JP",2026-12-04,No
debian.org,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-30,No
yandex.ru,Yes,"CN=GlobalSign ECC OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-08-06,No
noaa.gov,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-01,No
magnific.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-13,No
nasa.gov,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-07-09,No
berkeley.edu,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-16,No
netlify.app,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2027-03-19,No
uol.com.br,Yes,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2027-03-09,No
mit.edu,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-11-07,No
adobe.com,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2027-01-04,No
shein.com,Yes,"CN=DigiCert Secure Site OV G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-08-25,No
youtube.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
oracle.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-11-05,No
alibaba.com,Yes,"CN=GlobalSign GCC R3 OV TLS CA 2024,O=GlobalSign nv-sa,C=BE",2026-10-01,No
rambler.ru,Yes,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",2026-06-13,No
github.io,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-05,No
mozilla.org,Yes,"CN=WR3,O=Google Trust Services,C=US",2026-08-27,No
hatenablog.com,Yes,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",2026-08-09,No
spb.ru,No,SSL_ERROR,,
wisc.edu,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-30,No
udn.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-07-27,No
github.com,Yes,"CN=Sectigo Public Server Authentication CA DV E36,O=Sectigo Limited,C=GB",2026-08-02,No
worldbank.org,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-30,No
web.app,Yes,"CN=WR4,O=Google Trust Services,C=US",2026-08-18,No
line.me,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-09-11,No
mail.ru,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-11-22,No
obozrevatel.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-12,No
substack.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-08-22,No
wixsite.com,No,DNS_ERROR (domain not resolved),,
free.fr,Yes,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-07-15,No
stanford.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-11-06,No
blog.jp,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-08-19,No
voanews.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-07,No
godaddy.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-30,No
ca.gov,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-09-11,No
ning.com,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2027-01-30,No
rbc.ru,Yes,"CN=YE2,O=Let's Encrypt,C=US",2026-08-29,No
amazon.com,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-11-18,No
bing.com,Yes,"CN=Microsoft TLS G2 RSA CA OCSP 02,O=Microsoft Corporation,C=US",2026-10-30,No
impress.co.jp,No,SSL_ERROR,,
sohu.com,Yes,"CN=DigiCert Secure Site OV G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-08-11,No
mathworks.com,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2027-02-19,No
atlassian.net,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-10-08,No
163.com,Yes,"CN=GeoTrust G2 TLS CN RSA4096 SHA256 2022 CA1,O=DigiCert\, Inc.,C=US",2026-10-24,No
ubc.ca,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-10-14,No
banggood.com,Yes,"CN=TrustAsia TLS Pro RSA CA 2025,O=TrustAsia Technologies\, Inc.,C=CN",2026-12-11,No
yale.edu,Yes,"CN=Certainly Intermediate R1,O=Certainly,C=US",2026-06-25,No
nii.ac.jp,No,DNS_ERROR (domain not resolved),,
weebly.com,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-07-11,No
mpg.de,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-11-07,No
craigslist.org,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2027-01-31,No
usda.gov,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-10-09,No
exblog.jp,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2027-02-03,No
freelancer.com,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-10-12,No
hh.ru,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-10-11,No
unam.mx,Yes,"CN=GlobalSign GCC R3 EV TLS CA 2025,O=GlobalSign nv-sa,C=BE",2027-02-28,No
cloudfront.net,No,DNS_ERROR (domain not resolved),,
nsw.gov.au,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-10-09,No
duke.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-11-06,No
louisvuitton.com,Yes,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-10-08,No
samsung.com,Yes,"CN=Sectigo Public Server Authentication CA OV R36,O=Sectigo Limited,C=GB",2026-10-23,No
informator.ua,Yes,"CN=YE1,O=Let's Encrypt,C=US",2026-08-27,No
shopify.com,Yes,"CN=WE1,O=Google Trust Services,C=US",2026-07-13,No
tistory.com,Yes,"CN=Thawte TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",2026-10-14,No
cocolog-nifty.com,No,DNS_ERROR (domain not resolved),,
hatenablog.jp,Yes,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",2026-08-09,No
af.mil,No,DNS_ERROR (domain not resolved),,
hotels.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-07,No
cuni.cz,Yes,"CN=GEANT TLS RSA 1,O=Hellenic Academic and Research Institutions CA,C=GR",2026-08-25,No
psu.edu,Yes,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",2026-09-06,No
admin.ch,Yes,"CN=SwissSign RSA TLS OV ICA 2022 - 1,O=SwissSign AG,C=CH",2026-10-22,No
wikidot.com,Yes,"CN=Sectigo Public Server Authentication CA DV E36,O=Sectigo Limited,C=GB",2027-02-03,No
illinois.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2026-12-07,No
iheart.com,Yes,"CN=GlobalSign Atlas R3 DV TLS CA 2026 Q1,O=GlobalSign nv-sa,C=BE",2027-03-09,No
sap.com,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-10,No
usp.br,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-09-16,No
archive.org,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2027-02-09,No
opera.com,Yes,"CN=Trust Provider B.V. TLS RSA CA G1,OU=Domain Validated SSL,O=Trust Provider B.V.,C=NL",2027-02-06,No
over-blog.com,Yes,"CN=R13,O=Let's Encrypt,C=US",2026-07-05,No
gov.ru,No,TIMEOUT,,
scribd.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-27,No
usgs.gov,Yes,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",2026-09-10,No
narod.ru,Yes,"CN=GlobalSign GCC R6 AlphaSSL CA 2025,O=GlobalSign nv-sa,C=BE",2026-08-16,No
mynavi.jp,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-10-23,No
usu.edu,Yes,"CN=InCommon RSA Server CA 2,O=Internet2,C=US",2027-04-05,No
baidu.com,Yes,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",2026-08-10,No
ubuntu.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-16,No
porsche.com,Yes,"CN=Sectigo Public Server Authentication CA DV R36,O=Sectigo Limited,C=GB",2027-02-09,No
kremlin.ru,No,TIMEOUT,,
nist.gov,Yes,"CN=E7,O=Let's Encrypt,C=US",2026-08-02,No
krakow.pl,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-06,No
steampowered.com,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-08-03,No
salesforce.com,Yes,"CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1,O=DigiCert Inc,C=US",2026-10-02,No
texas.gov,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-12-08,No
android.com,Yes,"CN=WR2,O=Google Trust Services,C=US",2026-08-10,No
statcounter.com,Yes,"CN=Cloudflare TLS Issuing ECC CA 3,O=SSL Corporation,C=US",2026-08-29,No
dict.cc,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-07-13,No
teachable.com,Yes,"CN=YE1,O=Let's Encrypt,C=US",2026-08-28,No
canalblog.com,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-07-05,No
ntu.edu.tw,No,DNS_ERROR (domain not resolved),,
bnf.fr,Yes,"CN=Trust Provider B.V. TLS RSA EV CA G2,O=Trust Provider B.V.,C=NL",2026-11-29,No
harvard.edu,Yes,"CN=E8,O=Let's Encrypt,C=US",2026-08-07,No
afternic.com,Yes,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",2026-12-20,No
itmedia.co.jp,Yes,"CN=Amazon RSA 2048 M04,O=Amazon,C=US",2026-12-24,No
seesaa.net,Yes,"CN=R12,O=Let's Encrypt,C=US",2026-07-26,No
